iter	Passed	Remaining
544	2513	2098
545	2517	2093
546	2522	2089
547	2528	2085
548	2532	2080
549	2537	2075
550	2541	2070
551	2546	2067
552	2551	2062
553	2555	2057
554	2561	2053
555	2566	2049
556	2570	2044
557	2575	2039
558	2580	2035
559	2584	2030
560	2589	2026
561	2594	2022
562	2599	2017
563	2603	2012
564	2607	2007
565	2612	2003
566	2617	1998
567	2621	1994
568	2626	1989
569	2631	1984
570	2636	1980
571	2640	1975
572	2644	1971
573	2650	1966
574	2655	1962
575	2660	1958
576	2664	1953
577	2669	1948
578	2673	1944
579	2678	1939
580	2683	1934
581	2688	1930
582	2692	1925
583	2696	1920
584	2700	1915
585	2704	1911
586	2709	1906
587	2713	1901
588	2719	1897
589	2724	1893
590	2729	1888
591	2735	1885
592	2739	1880
593	2745	1876
594	2749	1871
595	2755	1867
596	2760	1863
597	2764	1858
598	2769	1854
599	2775	1850
600	2780	1845
601	2785	1841
602	2790	1837
603	2794	1832
604	2800	1828
605	2804	1823
606	2809	1819
607	2814	1814
608	2819	1809
609	2823	1805
610	2828	1800
611	2833	1796
612	2838	1791
613	2842	1787
614	2847	1782
615	2851	1777
616	2856	1772
617	2860	1768
618	2865	1763
619	2869	1758
620	2874	1754
621	2879	1749
622	2883	1744
623	2887	1739
624	2891	1735
625	2896	1730
626	2900	1725
627	2904	1720
628	2908	1715
629	2913	1711
630	2917	1706
631	2922	1701
632	2926	1696
633	2931	1692
634	2936	1687
635	2942	1684
636	2946	1679
637	2951	1674
638	2957	1670
639	2963	1666
640	2967	1662
641	2973	1658
642	2977	1653
643	2982	1648
644	2987	1644
645	2991	1639
646	2995	1634
647	3000	1629
648	3004	1624
649	3008	1620
650	3013	1615
651	3017	1610
652	3021	1605
653	3026	1601
654	3030	1596
655	3034	1591
656	3039	1586
657	3043	1581
658	3047	1576
659	3051	1572
660	3056	1567
661	3060	1562
662	3064	1557
663	3068	1552
664	3072	1547
665	3077	1543
666	3082	1539
667	3086	1534
668	3091	1529
669	3095	1524
670	3100	1520
671	3105	1515
672	3110	1511
673	3114	1506
674	3118	1501
675	3123	1497
676	3127	1492
677	3132	1487
678	3137	1483
679	3141	1478
680	3145	1473
681	3150	1468
682	3154	1464
683	3158	1459
684	3162	1454
685	3167	1449
686	3171	1445
687	3176	1440
688	3180	1435
689	3184	1430
690	3188	1425
691	3192	1420
692	3196	1416
693	3201	1411
694	3205	1406
695	3209	1401
696	3213	1396
697	3217	1392
698	3221	1387
699	3225	1382
700	3229	1377
701	3233	1372
702	3237	1367
703	3241	1362
704	3245	1358
705	3249	1353
706	3253	1348
707	3258	1343
708	3262	1338
709	3266	1334
710	3270	1329
711	3274	1324
712	3278	1319
713	3282	1314
714	3286	1310
715	3290	1305
716	3295	1300
717	3298	1295
718	3302	1290
719	3307	1286
720	3311	1281
721	3315	1276
722	3321	1272
723	3325	1267
724	3330	1263
725	3334	1258
726	3338	1253
727	3342	1248
728	3347	1244
729	3351	1239
730	3355	1234
731	3360	1230
732	3364	1225
733	3368	1220
734	3372	1215
735	3376	1211
736	3380	1206
737	3384	1201
738	3388	1196
739	3392	1191
740	3396	1187
741	3401	1182
742	3405	1177
743	3409	1173
744	3413	1168
745	3418	1163
746	3422	1159
747	3426	1154
748	3430	1149
749	3435	1145
750	3439	1140
751	3443	1135
752	3447	1130
753	3451	1126
754	3456	1121
755	3460	1116
756	3465	1112
757	3469	1107
758	3474	1103
759	3478	1098
760	3482	1093
761	3486	1089
762	3491	1084
763	3496	1080
764	3500	1075
765	3505	1070
766	3509	1066
767	3514	1061
768	3520	1057
769	3524	1052
770	3530	1048
771	3534	1043
772	3538	1039
773	3544	1034
774	3548	1030
775	3553	1025
776	3557	1021
777	3562	1016
778	3567	1012
779	3571	1007
780	3575	1002
781	3579	997
782	3584	993
783	3589	988
784	3593	984
785	3598	979
786	3602	974
787	3606	970
788	3609	965
789	3613	960
790	3617	955
791	3622	951
792	3626	946
793	3630	941
794	3634	937
795	3638	932
796	3642	927
797	3646	923
798	3650	918
799	3655	913
800	3660	909
801	3664	904
802	3670	900
803	3674	895
804	3678	891
805	3683	886
806	3687	881
807	3692	877
808	3697	872
809	3702	868
810	3706	863
811	3711	859
812	3717	855
813	3723	850
814	3728	846
815	3732	841
816	3737	837
817	3742	832
818	3747	828
819	3751	823
820	3755	818
821	3759	814
822	3763	809
823	3768	804
824	3772	800
825	3776	795
826	3780	790
827	3785	786
828	3790	781
829	3794	777
830	3799	772
831	3804	768
832	3809	763
833	3813	759
834	3818	754
835	3822	749
836	3826	745
837	3830	740
838	3835	735
839	3839	731
840	3843	726
841	3847	722
842	3851	717
843	3856	712
844	3860	708
845	3864	703
846	3870	699
847	3874	694
848	3878	689
849	3883	685
850	3887	680
851	3891	676
852	3895	671
853	3899	666
854	3904	662
855	3908	657
856	3913	652
857	3918	648
858	3923	644
859	3928	639
860	3932	634
861	3937	630
862	3942	625
863	3946	621
864	3950	616
865	3955	612
866	3959	607
867	3963	602
868	3968	598
869	3972	593
870	3977	589
871	3982	584
872	3986	579
873	3991	575
874	3996	570
875	4000	566
876	4004	561
877	4009	557
878	4013	552
879	4017	547
880	4021	543
881	4026	538
882	4030	534
883	4035	529
884	4039	524
885	4043	520
886	4047	515
887	4052	511
888	4056	506
889	4060	501
890	4064	497
891	4069	492
892	4073	488
893	4078	483
894	4082	478
895	4086	474
896	4091	469
897	4095	465
898	4099	460
899	4103	455
900	4108	451
901	4113	446
902	4118	442
903	4123	437
904	4128	433
905	4133	428
906	4138	424
907	4142	419
908	4146	415
909	4151	410
910	4155	405
911	4159	401
912	4164	396
913	4169	392
914	4173	387
915	4179	383
916	4184	378
917	4189	374
918	4193	369
919	4198	365
920	4203	360
921	4207	355
922	4213	351
923	4218	346
924	4222	342
925	4227	337
926	4232	333
927	4237	328
928	4242	324
929	4246	319
930	4251	315
931	4255	310
932	4259	305
933	4264	301
934	4268	296
935	4272	292
936	4277	287
937	4281	283
938	4287	278
939	4292	273
940	4296	269
941	4300	264
942	4305	260
943	4309	255
944	4313	251
945	4318	246
946	4323	241
947	4328	237
948	4333	232
949	4338	228
950	4342	223
951	4347	219
952	4351	214
953	4355	210
954	4359	205
955	4366	200
956	4370	196
957	4375	191
958	4379	187
959	4383	182
960	4388	178
961	4392	173
962	4397	168
963	4402	164
964	4406	159
965	4410	155
966	4414	150
967	4419	146
968	4423	141
969	4427	136
970	4432	132
971	4438	127
972	4444	123
973	4449	118
974	4454	114
975	4459	109
976	4465	105
977	4470	100
978	4475	95
979	4479	91
980	4483	86
981	4487	82
982	4491	77
983	4498	73
984	4502	68
985	4507	63
986	4511	59
987	4516	54
988	4520	50
989	4525	45
990	4531	41
991	4535	36
992	4540	32
993	4544	27
994	4549	22
995	4553	18
996	4558	13
997	4562	9
998	4567	4
999	4571	0
