iter	Logloss
192	0.4983729801
193	0.4981616294
194	0.4980615423
195	0.498009091
196	0.4979128961
197	0.497740019
198	0.4976442073
199	0.4975136456
200	0.4974309013
201	0.4972580659
202	0.4971170355
203	0.4969459058
204	0.4968406815
205	0.4967465101
206	0.4966519434
207	0.4964963542
208	0.4963479193
209	0.4961960453
210	0.495943766
211	0.4957951607
212	0.4955797646
213	0.4953400628
214	0.4952166555
215	0.4950734026
216	0.4949101345
217	0.4947828064
218	0.4946287193
219	0.494517052
220	0.4942496588
221	0.4941039199
222	0.4938210095
223	0.4937414681
224	0.493666439
225	0.4935591242
226	0.4933872589
227	0.4931398599
228	0.4929482693
229	0.4927793811
230	0.4927100712
231	0.4925755407
232	0.492424477
233	0.4923090267
234	0.4921063996
235	0.4919777666
236	0.491893106
237	0.4917812774
238	0.4916669512
239	0.4915405109
240	0.4914139356
241	0.4913254047
242	0.4912521435
243	0.4912060544
244	0.4911327344
245	0.4909210794
246	0.4908636413
247	0.4906247922
248	0.4904657351
249	0.4903131391
250	0.4902380711
251	0.4900141968
252	0.4898630607
253	0.4897329307
254	0.4896069833
255	0.4894755417
256	0.4892033471
257	0.4891153601
258	0.4889732217
259	0.4888335984
260	0.4886191683
261	0.4884361593
262	0.4883240197
263	0.4881019802
264	0.4880512415
265	0.4879874682
266	0.4878618778
267	0.4877488752
268	0.4875730396
269	0.487492045
270	0.4873560017
271	0.4872817571
272	0.4871434438
273	0.4870188146
274	0.4869239312
275	0.4867341765
276	0.4865984913
277	0.4864207644
278	0.4863405098
279	0.4860953827
280	0.4860356715
281	0.4859107588
282	0.4857476742
283	0.4856040703
284	0.4853810387
285	0.4852038466
286	0.4851674148
287	0.4850842359
288	0.4849741781
289	0.4848101293
290	0.4846555776
291	0.4843627986
292	0.4841273138
293	0.4839812108
294	0.4838174676
295	0.4836348196
296	0.4834610544
297	0.4833235397
298	0.4831759781
299	0.4829171864
300	0.4828027041
301	0.4825438171
302	0.4823430485
303	0.4821810285
304	0.4820161255
305	0.4819535741
306	0.481712135
307	0.4814604602
308	0.4812769958
309	0.4811804734
310	0.4810188988
311	0.4809256236
312	0.4808463156
313	0.4807276524
314	0.4804669901
315	0.4804284539
316	0.4803312068
317	0.480243675
318	0.4801298511
319	0.4799895407
320	0.4798442672
321	0.4797183584
322	0.4795725265
323	0.4794172291
324	0.4792329086
325	0.4791515539
326	0.4791252048
327	0.4789860873
328	0.478791077
329	0.4786369204
330	0.4785842685
331	0.4785148414
332	0.4784685515
333	0.4784152644
334	0.4783584735
335	0.4781944905
336	0.4780417548
337	0.4779139841
338	0.4777959292
339	0.4777590455
340	0.4776303291
341	0.4775062941
342	0.4773427057
343	0.4772481237
344	0.4771021912
345	0.476991873
346	0.4768487412
347	0.4767792012
348	0.476552563
349	0.47636509
350	0.4763129742
351	0.4762228123
352	0.4761644204
353	0.4760572756
354	0.475938941
355	0.4757163029
356	0.4754991926
357	0.4753620451
358	0.4752244076
359	0.4751506387
360	0.4748928906
361	0.4747590258
362	0.4745914731
363	0.4744670011
364	0.4743281543
365	0.4742645844
366	0.4740814239
367	0.474034799
368	0.4738961398
369	0.4738052249
370	0.4737052505
371	0.4735044511
372	0.4733032168
373	0.4732581462
374	0.4731659375
375	0.4730508035
376	0.4729790333
377	0.4727625195
378	0.4726738577
379	0.4724587251
380	0.4722615142
381	0.472190988
382	0.4719718668
383	0.4717658827
384	0.4716466915
385	0.4715212446
386	0.4712777397
387	0.4710602264
388	0.4707947544
389	0.4706123391
390	0.4704132319
391	0.4702765608
392	0.4701556345
393	0.4699740503
394	0.4698262521
395	0.469672758
396	0.4695722378
397	0.4694566592
398	0.4692924824
399	0.4690666285
400	0.4690401157
401	0.4689823274
402	0.4688099095
403	0.4687746416
404	0.4686459931
405	0.4685775179
406	0.4684965409
407	0.4684050003
408	0.4683307727
409	0.4681886663
410	0.4679782618
411	0.4677911018
412	0.467658954
413	0.467599204
414	0.4674049338
415	0.4672260871
416	0.4669692196
417	0.4668582873
418	0.4666639358
419	0.4666327306
420	0.4663781476
421	0.4662016328
422	0.4660157994
423	0.465883412
424	0.465771655
425	0.4656707784
426	0.4655405999
427	0.4654991171
428	0.4653568221
429	0.465219493
430	0.4649953032
431	0.464880297
432	0.4646370983
433	0.4643578352
434	0.4642690387
435	0.4639624175
436	0.4636807745
437	0.4635770795
438	0.4633384112
439	0.4632863087
440	0.4632737176
441	0.4630766088
442	0.4628363197
443	0.4626381466
444	0.4625147483
445	0.4623845737
446	0.4621600211
447	0.461900284
448	0.4618881716
449	0.4617870896
450	0.4616556574
451	0.4616448463
452	0.461520049
453	0.4614023195
454	0.4612489898
455	0.4610541257
456	0.4609499586
457	0.4608419213
458	0.4605987224
459	0.4604768276
460	0.4603265263
461	0.4603113864
462	0.460212132
463	0.4602048256
464	0.4601310942
465	0.459954911
466	0.4597873607
467	0.4597278535
468	0.4594739237
469	0.4593999639
470	0.4591974769
471	0.4590054956
472	0.4589327065
473	0.4587618529
474	0.4587472143
475	0.4586181107
476	0.4585105939
477	0.4582264662
478	0.4581307418
479	0.458079458
480	0.4578038319
481	0.457598846
482	0.4575807625
483	0.4574426821
484	0.4572109646
485	0.4570828969
486	0.4569054488
487	0.4567788981
488	0.4566632343
489	0.4564718088
490	0.4563249026
491	0.4562652116
492	0.4562443217
493	0.4561035913
494	0.4560152223
495	0.4558237743
496	0.4556422056
497	0.4555104631
498	0.4554421989
499	0.4553214635
500	0.4550596033
501	0.454908201
502	0.4546322094
503	0.4543825265
504	0.4541910242
505	0.4539628118
506	0.4536550414
507	0.4534263794
508	0.4534138311
509	0.4532002437
510	0.4531031412
511	0.4530897786
512	0.4529174248
513	0.4527788332
514	0.4524196205
515	0.4522457519
516	0.4519944456
517	0.4519818185
518	0.4517356708
519	0.4516547381
520	0.4513535192
521	0.4512196401
522	0.4510837742
523	0.4509516889
524	0.4509402421
525	0.4507939215
526	0.4507483657
527	0.4505193236
528	0.4505086273
529	0.4503532444
530	0.4503452923
531	0.4503330914
532	0.4501149091
533	0.4499112601
534	0.4497338507
535	0.4495036545
536	0.4492407435
537	0.4491487637
538	0.4488823266
539	0.4487586061
540	0.4487496492
541	0.4487426226
542	0.4486829785
543	0.4485144122
544	0.4482652577
545	0.4481276504
546	0.4479656804
547	0.4478386499
548	0.4476066122
549	0.4473453451
550	0.4472820127
551	0.4472495129
552	0.4470727161
553	0.4468829799
554	0.4467572366
555	0.446554141
556	0.4463203908
557	0.4462573866
558	0.4459070472
559	0.4457220882
560	0.4455540282
561	0.4452940896
562	0.4450419295
563	0.444721605
564	0.4447133456
565	0.4445451616
566	0.4442922401
567	0.4441582192
568	0.4439796061
569	0.4439675215
570	0.4436296067
571	0.4434978851
572	0.4434876948
573	0.4433152513
574	0.4431352642
575	0.4429843612
576	0.4429566091
577	0.442946875
578	0.4429379984
579	0.4427543346
580	0.4424392183
581	0.4423534579
582	0.4421843053
583	0.4420473665
584	0.4418760264
585	0.4416387522
586	0.4415158303
587	0.4415035925
588	0.4412983802
589	0.4411594418
590	0.4411508324
591	0.4409600562
592	0.4408445792
593	0.4408312175
594	0.4405369709
595	0.440352418
596	0.4402533949
597	0.4402372606
598	0.4399341321
599	0.4399235147
600	0.4397719525
601	0.4395785644
602	0.4394517357
603	0.4392636632
604	0.4389983292
605	0.4389041038
606	0.4387788253
607	0.4385810687
608	0.4384497671
609	0.4381854074
610	0.438025503
611	0.4378913291
612	0.4377840467
613	0.4377108084
614	0.43769695
615	0.4376149201
616	0.437547944
617	0.4373072325
618	0.4372182794
619	0.4370753935
620	0.4370669764
621	0.4368160986
622	0.4366319332
623	0.4364315033
624	0.4364242462
625	0.4361990032
626	0.4360296922
627	0.4358711364
628	0.4355703536
629	0.4355597724
630	0.4355552155
631	0.4353911446
632	0.4353846204
633	0.4351278764
634	0.4349624723
635	0.4349556377
636	0.4346983394
637	0.4345424943
638	0.4343950879
639	0.4343349154
640	0.4340365301
641	0.4337785292
642	0.4337161887
643	0.4334875194
644	0.4333461157
645	0.4332244394
646	0.4330902938
647	0.4329818382
648	0.4328322266
649	0.4326205782
650	0.4324848644
651	0.4323374597
652	0.4320928727
653	0.431933961
654	0.4317409339
655	0.4315784151
656	0.4314660817
657	0.4313926637
658	0.4312168742
659	0.4311498418
660	0.4310409155
661	0.4308850064
662	0.430659794
663	0.4306481309
664	0.4305279154
665	0.4303329242
666	0.4301333953
667	0.429954302
668	0.4298228624
669	0.4296357408
670	0.4294515975
671	0.4292367753
672	0.429230251
673	0.428957827
674	0.4289519577
675	0.4289422261
676	0.4289347717
677	0.4287615325
678	0.4286188098
679	0.4284549335
680	0.4282863955
681	0.4281614525
682	0.4281427572
683	0.4279353092
684	0.4277811988
685	0.4275835956
686	0.4273362418
687	0.4271820115
688	0.4269578289
689	0.4267012422
690	0.4265822679
691	0.4264950846
692	0.4264896029
693	0.42648578
694	0.4264000041
695	0.4263894248
696	0.4263837888
697	0.4262650394
698	0.426105384
699	0.4259789331
700	0.4258466071
701	0.425723085
702	0.4255293582
703	0.4254254328
704	0.4253741391
705	0.4250624422
706	0.4248201506
707	0.4248164464
708	0.4245682983
709	0.4245640522
710	0.424290326
711	0.4241747807
712	0.4240674629
713	0.423961797
714	0.4239538051
715	0.423763181
716	0.4236380262
717	0.4235439549
718	0.4232701815
719	0.4230560123
720	0.4228591515
721	0.4227113711
722	0.4225789174
723	0.4222915763
724	0.4221724921
725	0.421941212
726	0.4217583766
727	0.4215937203
728	0.4213874094
729	0.4211874409
730	0.4210662215
731	0.4209243905
732	0.4207251973
733	0.4206509649
734	0.4204797209
735	0.4203317524
736	0.4200540192
737	0.4198176923
738	0.4197928036
739	0.4195344384
740	0.4193132
741	0.4190925484
742	0.4190353549
743	0.419028485
744	0.4187734751
745	0.4186181447
746	0.4184812472
747	0.4182762747
748	0.4181019384
749	0.4180247673
750	0.4177639269
751	0.4176550637
752	0.4175643924
753	0.4173448767
754	0.4173406706
755	0.4171951526
756	0.4170109057
757	0.4170026424
758	0.4169552814
759	0.4167855425
760	0.4165612083
761	0.4163958182
762	0.4163905676
763	0.4161644559
764	0.4159872558
765	0.415886249
766	0.4156164619
767	0.4154464523
768	0.415246297
769	0.4151700575
770	0.4150773631
771	0.4149930001
772	0.4148627817
773	0.4148578783
774	0.4146141861
775	0.4146086647
776	0.4145086761
777	0.41450281
778	0.414409602
779	0.414219721
780	0.4141278387
781	0.4139610956
782	0.4137482735
783	0.4136383612
784	0.4134028377
785	0.4132430761
786	0.4131298958
787	0.4129149497
788	0.4127961554
789	0.4126819665
790	0.4125679417
791	0.4125640791
792	0.4123405669
793	0.4121083126
794	0.412044918
795	0.4119325421
796	0.4118088959
797	0.4118051502
798	0.4116635093
799	0.4114588095
800	0.4114433627
801	0.4112603777
802	0.4111229369
803	0.4110389363
804	0.4108632873
805	0.4106612477
806	0.4105204031
807	0.4103936128
808	0.4103050068
809	0.4101075345
810	0.4100386955
811	0.4099870959
812	0.4098574619
813	0.4098511707
814	0.4097191714
815	0.4096410405
816	0.4095255872
817	0.409377466
818	0.4093012534
819	0.4091933455
820	0.4091339435
821	0.40900614
822	0.4088779788
823	0.4088528331
824	0.4086334279
825	0.4084924489
826	0.4083186281
827	0.4082477098
828	0.4082323354
829	0.4081917536
830	0.4080657296
831	0.4080620987
832	0.4080189187
833	0.4079440677
834	0.4079303568
835	0.407858072
836	0.4077874835
837	0.4076611134
838	0.4075200018
839	0.4075176084
840	0.4074239528
841	0.4074193565
842	0.4073130977
843	0.4070933536
844	0.4070033745
845	0.4068273087
846	0.4066927875
847	0.406597853
848	0.4065156452
849	0.406350831
850	0.406217615
851	0.4061619694
852	0.4060869706
853	0.4059817804
854	0.4057980159
855	0.405759949
856	0.4056450814
857	0.4055470853
858	0.4053751469
859	0.405269887
860	0.4052302869
861	0.4051327148
862	0.4048530608
863	0.4048306661
864	0.404601906
865	0.4045154586
866	0.404365497
867	0.404253255
868	0.4040272005
869	0.403912906
870	0.4038666158
871	0.4038592785
872	0.4037498529
873	0.4037265329
874	0.4035457506
875	0.4033694555
876	0.4033562081
877	0.4033521146
878	0.4033307581
879	0.4031396223
880	0.4030478008
881	0.402852713
882	0.4026489352
883	0.4025885555
884	0.4023566882
885	0.4021672524
886	0.4020488635
887	0.4019569427
888	0.4017413403
889	0.4016058049
890	0.4014972506
891	0.4014173712
892	0.4012428504
893	0.4010702744
894	0.4009380697
895	0.4007589964
896	0.4007532066
897	0.40064893
898	0.4005370503
899	0.4003261838
900	0.4002053678
901	0.4001179473
902	0.3999625363
903	0.3998543305
904	0.3998247663
905	0.3995361862
906	0.3993469874
907	0.3991816104
908	0.3991797201
909	0.3989043437
910	0.3987731554
911	0.3986310138
912	0.3985324859
913	0.3983992942
914	0.3983001464
915	0.3981914387
916	0.3980568141
917	0.3979538498
918	0.39789428
919	0.3978121154
920	0.3978022287
921	0.3976700454
922	0.3975307208
923	0.3972730727
924	0.396932507
925	0.3968481053
926	0.3966385709
927	0.3965974624
928	0.3964790343
929	0.3963379272
930	0.3961563992
931	0.3959357036
932	0.3957138197
933	0.3956912646
934	0.3956017558
935	0.3954653776
936	0.3953360402
937	0.395317266
938	0.3953128661
939	0.3951771646
940	0.3950849838
941	0.3950829389
942	0.3949841181
943	0.3949347826
944	0.3947820873
945	0.3945642346
946	0.3945124437
947	0.3945069593
948	0.3944584664
949	0.3944561514
950	0.3942795928
951	0.3940971072
952	0.3939174486
953	0.3937209236
954	0.3934581818
955	0.393201927
956	0.3931041871
957	0.3929681483
958	0.3928172864
959	0.3928141203
960	0.3926865617
961	0.3926560195
962	0.3925107916
963	0.392400127
964	0.3923118458
965	0.3921896355
966	0.3921111599
967	0.392108496
968	0.3919216066
969	0.3918499554
970	0.3916643769
971	0.3914440706
972	0.3913621947
973	0.3911858498
974	0.3910497704
975	0.390834693
976	0.3907576724
977	0.3906753928
978	0.390471814
979	0.390268206
980	0.3900746018
981	0.3900703952
982	0.3900129367
983	0.389910473
984	0.3897549946
985	0.3896347803
986	0.3895000235
987	0.3894769988
988	0.3894245518
989	0.389286487
990	0.389052236
991	0.388841895
992	0.388840351
993	0.3887833813
994	0.3886043017
995	0.388450938
996	0.3883583092
997	0.3881769301
998	0.3881187688
999	0.3879522212
